 TIME                    	TAIR_PEG_V1              	TAIR_PEG_V2              	TAIR_PEG_V3              	TAIR_PEG_V4              	TAIR_PEG_V5              	TAIR_PEG_V6              	TAIR_PEG_V7              	
  +7.8000000000000000E+01	  +4.3539842458114144E+01	  +3.6738424866756482E+01	  +3.6550871289703345E+01	  +3.7159684041738259E+01	  +3.7159635158351492E+01	  +3.6547002946328490E+01	  +3.6527371966422180E+01	
  +7.9000000000000000E+01	  +4.4151108590462080E+01	  +3.7166290351887604E+01	  +3.6968674900365336E+01	  +3.7589221382206937E+01	  +3.7589167418971719E+01	  +3.6964496569467393E+01	  +3.6944083805621759E+01	
  +8.0000000000000000E+01	  +4.4783403741237024E+01	  +3.7610598601667078E+01	  +3.7402635297882938E+01	  +3.8034964291567853E+01	  +3.8034904815687959E+01	  +3.7398129174588128E+01	  +3.7376919506751150E+01	
  +8.1000000000000000E+01	  +4.5430215734663214E+01	  +3.8065011387982430E+01	  +3.7846405032615856E+01	  +3.8490581289081142E+01	  +3.8490515823034045E+01	  +3.7841552266383140E+01	  +3.7819529650408320E+01	
  +8.2000000000000000E+01	  +4.6070638617873328E+01	  +3.8515881827200566E+01	  +3.8286385898825721E+01	  +3.8942389879127596E+01	  +3.8942317932601320E+01	  +3.8281167962370802E+01	  +3.8258320574127602E+01	
  +8.3000000000000000E+01	  +4.6716166112824489E+01	  +3.8971947069604006E+01	  +3.8731269076084466E+01	  +3.9399162262832405E+01	  +3.9399083304806020E+01	  +3.8725666135186756E+01	  +3.8701978145203881E+01	
  +8.4000000000000000E+01	  +4.7367174314179479E+01	  +3.9433082323756757E+01	  +3.9180937574045537E+01	  +3.9860764970324176E+01	  +3.9860678440634949E+01	  +3.9174929611574797E+01	  +3.9150385648428056E+01	
  +8.5000000000000000E+01	  +4.8018390517647020E+01	  +3.9896043251889175E+01	  +3.9632192776523134E+01	  +4.0323931663766977E+01	  +4.0323837026662808E+01	  +3.9625760207845154E+01	  +3.9600349057195949E+01	
  +8.6000000000000000E+01	  +4.8675869281827850E+01	  +4.0364827156504127E+01	  +4.0088980758945880E+01	  +4.0792686263142897E+01	  +4.0792582877040935E+01	  +4.0082102098300638E+01	  +4.0055808242784288E+01	
  +8.7000000000000000E+01	  +4.9339468909737533E+01	  +4.0839061442640805E+01	  +4.0550934453955023E+01	  +4.1266655327897730E+01	  +4.1266542515875400E+01	  +4.0543587873254445E+01	  +4.0516395946153558E+01	
  +8.8000000000000000E+01	  +5.0009541086974259E+01	  +4.1319210156236771E+01	  +4.1018540569435402E+01	  +4.1746294614076938E+01	  +4.1746171701322744E+01	  +4.1010704295070262E+01	  +4.0982600784808682E+01	
  +8.9000000000000000E+01	  +5.1066245999872379E+01	  +4.2072731006763888E+01	  +4.1759292004952179E+01	  +4.2499043674788048E+01	  +4.2498909944607867E+01	  +4.1750944654731292E+01	  +4.1721918815359189E+01	
  +9.0000000000000000E+01	  +5.1676892584175683E+01	  +4.2489803547699260E+01	  +4.2163305599825300E+01	  +4.2915120730957206E+01	  +4.2914975423473869E+01	  +4.2154423691237128E+01	  +4.2124459533828364E+01	
  +9.1000000000000000E+01	  +5.2159007309357186E+01	  +4.2844961928569575E+01	  +4.2505097738176865E+01	  +4.3269039352264357E+01	  +4.3268881646973938E+01	  +4.2495657151905036E+01	  +4.2464738496901930E+01	
  +9.2000000000000000E+01	  +5.2887064618196703E+01	  +4.3381554340801962E+01	  +4.3028053613497889E+01	  +4.3804113849337938E+01	  +4.3803942931589141E+01	  +4.3018031135865705E+01	  +4.2986145853555328E+01	
  +9.3000000000000000E+01	  +5.3484879376635156E+01	  +4.3818325586745615E+01	  +4.3450944837859595E+01	  +4.4239102574958274E+01	  +4.4238917594470692E+01	  +4.3440317675099791E+01	  +4.3407454871858633E+01	
  +9.4000000000000000E+01	  +5.4193020179556044E+01	  +4.4340433186422352E+01	  +4.3958896055248900E+01	  +4.4759185430130266E+01	  +4.4758985476913047E+01	  +4.3947639089844678E+01	  +4.3913784175862190E+01	
  +9.5000000000000000E+01	  +5.4841806103461991E+01	  +4.4815703532142543E+01	  +4.4419732596061777E+01	  +4.5232211978784413E+01	  +4.5231996103299231E+01	  +4.4407820034627889E+01	  +4.4372957186882211E+01	
  +9.6000000000000000E+01	  +5.5541900018514731E+01	  +4.5333461975189245E+01	  +4.4922832857378467E+01	  +4.5747499786941049E+01	  +4.5747267011727175E+01	  +4.4910239651415807E+01	  +4.4874356592789084E+01	
  +9.7000000000000000E+01	  +5.6209674702093388E+01	  +4.5826595782903169E+01	  +4.5401117544315397E+01	  +4.6237942675215443E+01	  +4.6237691997689367E+01	  +4.5387819256521567E+01	  +4.5350905684217025E+01	
  +9.8000000000000000E+01	  +5.6905201218955852E+01	  +4.6344241078388436E+01	  +4.5903674274588042E+01	  +4.6752690465555162E+01	  +4.6752420819598271E+01	  +4.5889644140209334E+01	  +4.5851685641144726E+01	
  +9.9000000000000000E+01	  +5.7592076109471400E+01	  +4.6854849744762660E+01	  +4.6398942869228257E+01	  +4.7260205757284638E+01	  +4.7259916031301678E+01	  +4.6384153092695108E+01	  +4.6345133916818796E+01	
  +1.0000000000000000E+02	  +5.8292171458766717E+01	  +4.7378289051687211E+01	  +4.6906844219683563E+01	  +4.7780347206810070E+01	  +4.7780036266193264E+01	  +4.6891268443702899E+01	  +4.6851176760480932E+01	
  +1.0100000000000000E+02	  +5.8984455744430470E+01	  +4.7896925159959181E+01	  +4.7409777174101457E+01	  +4.8295484915069053E+01	  +4.8295151600685500E+01	  +4.7393389879852613E+01	  +4.7352215992655424E+01	
  +1.0200000000000000E+02	  +5.9686488670206614E+01	  +4.8425360969143505E+01	  +4.7922289328816532E+01	  +4.8820232052846265E+01	  +4.8819875134100862E+01	  +4.7905062027860694E+01	  +4.7862791903773278E+01	
  +1.0300000000000000E+02	  +6.0391748280398517E+01	  +4.8956668815116046E+01	  +4.8437438211510681E+01	  +4.9347669631306800E+01	  +4.9347287827863752E+01	  +4.8419341437097003E+01	  +4.8375959351629255E+01	
  +1.0400000000000000E+02	  +6.1106601429290578E+01	  +4.9497595220522868E+01	  +4.8962096596602592E+01	  +4.9884536777319624E+01	  +4.9884128816921340E+01	  +4.8943106138650826E+01	  +4.8898605633752418E+01	
  +1.0500000000000000E+02	  +6.1844492444004501E+01	  +5.0055338095490882E+01	  +4.9503338062661612E+01	  +5.0438044188148375E+01	  +5.0437608706739496E+01	  +4.9483423556488354E+01	  +4.9437788709391540E+01	
  +1.0600000000000000E+02	  +6.2581155953706350E+01	  +5.0612633290605970E+01	  +5.0043923368655996E+01	  +5.0990927013302432E+01	  +5.0990462612788093E+01	  +5.0023054901927843E+01	  +4.9976271409045019E+01	
  +1.0700000000000000E+02	  +6.3312856050951858E+01	  +5.1168167902889593E+01	  +5.0582572775477715E+01	  +5.1541876148293063E+01	  +5.1541381397879086E+01	  +5.0560721804318796E+01	  +5.0512777691195161E+01	
  +1.0800000000000000E+02	  +6.4045115001421053E+01	  +5.1726554474271687E+01	  +5.1123944418193226E+01	  +5.2095499107001395E+01	  +5.2094972570442891E+01	  +5.1101083960185505E+01	  +5.1051970681585345E+01	
