 TIME                    	QSENS_PEG_V1             	QSENS_PEG_V2             	QSENS_PEG_V3             	QSENS_PEG_V4             	QSENS_PEG_V5             	QSENS_PEG_V6             	QSENS_PEG_V7             	
  +5.4000000000000000E+01	  -2.6636482840816789E+03	  -2.2091139556357880E+03	  -2.2059830088209310E+03	  -2.2059808862859541E+03	  -2.2059811582738648E+03	  -2.2059812023026984E+03	  -2.2059812233349567E+03	
  +5.5000000000000000E+01	  -2.6886860987552636E+03	  -2.2270704404918324E+03	  -2.2237269077224450E+03	  -2.2237228547064460E+03	  -2.2237231242852004E+03	  -2.2237231699211293E+03	  -2.2237231916932265E+03	
  +5.6000000000000000E+01	  -2.6281803920619277E+03	  -2.1654684731216757E+03	  -2.1619146953504769E+03	  -2.1619086236164781E+03	  -2.1619088876838982E+03	  -2.1619089339667744E+03	  -2.1619089560077832E+03	
  +5.7000000000000000E+01	  -2.3433921775974750E+03	  -1.9123471657393263E+03	  -1.9085859352625553E+03	  -1.9085777517946933E+03	  -1.9085780041588444E+03	  -1.9085780486085473E+03	  -1.9085780696959278E+03	
  +5.8000000000000000E+01	  -1.8107946516808368E+03	  -1.4699765960128941E+03	  -1.4660123493965600E+03	  -1.4660019748329876E+03	  -1.4660022141214638E+03	  -1.4660022566402026E+03	  -1.4660022767278233E+03	
  +5.9000000000000000E+01	  -1.3467491891279792E+03	  -1.0854095377499148E+03	  -1.0812532764360274E+03	  -1.0812406445997431E+03	  -1.0812408752449328E+03	  -1.0812409186181349E+03	  -1.0812409390853434E+03	
  +6.0000000000000000E+01	  -1.1469934556060321E+03	  -8.9678484405382937E+02	  -8.9245688955376875E+02	  -8.9244192227901078E+02	  -8.9244213787226579E+02	  -8.9244217950631321E+02	  -8.9244219907037848E+02	
  +6.1000000000000000E+01	  -7.0787158216845421E+02	  -5.2922538407731145E+02	  -5.2475915594971411E+02	  -5.2474179046420238E+02	  -5.2474199024652432E+02	  -5.2474203037499979E+02	  -5.2474204916222970E+02	
  +6.2000000000000000E+01	  -6.8784857382983137E+02	  -4.9862174085822824E+02	  -4.9405558503928165E+02	  -4.9403577071868966E+02	  -4.9403595576668067E+02	  -4.9403599551524746E+02	  -4.9403601408443245E+02	
  +6.3000000000000000E+01	  -1.0365268428897832E+03	  -7.5012620105496524E+02	  -7.4549969525913775E+02	  -7.4547739422169911E+02	  -7.4547756564510314E+02	  -7.4547760616399864E+02	  -7.4547762508960670E+02	
  +6.4000000000000000E+01	  -1.4759969218757658E+03	  -1.1012155677874382E+03	  -1.0965624606344713E+03	  -1.0965376547104429E+03	  -1.0965378149809405E+03	  -1.0965378581087255E+03	  -1.0965378783137692E+03	
